run	V(vref)
4.710000000000000e+02	1.193150e+00
4.720000000000000e+02	1.207615e+00
4.730000000000000e+02	1.219850e+00
4.740000000000000e+02	1.235552e+00
4.750000000000000e+02	1.205036e+00
4.760000000000000e+02	1.210065e+00
4.770000000000000e+02	1.223572e+00
4.780000000000000e+02	1.219404e+00
4.790000000000000e+02	1.175575e+00
4.800000000000000e+02	1.237180e+00
4.810000000000000e+02	1.239673e+00
4.820000000000000e+02	1.175899e+00
4.830000000000000e+02	1.199781e+00
4.840000000000000e+02	1.198473e+00
4.850000000000000e+02	1.199012e+00
4.860000000000000e+02	1.197762e+00
4.870000000000000e+02	1.194983e+00
4.880000000000000e+02	1.211372e+00
4.890000000000000e+02	1.220526e+00
4.900000000000000e+02	1.230645e+00
4.910000000000000e+02	1.182925e+00
4.920000000000000e+02	1.214113e+00
4.930000000000000e+02	1.197065e+00
4.940000000000000e+02	1.203442e+00
4.950000000000000e+02	1.230851e+00
4.960000000000000e+02	1.198025e+00
4.970000000000000e+02	1.191677e+00
4.980000000000000e+02	1.183369e+00
4.990000000000000e+02	1.210033e+00
5.000000000000000e+02	1.199894e+00
5.010000000000000e+02	1.230505e+00
5.020000000000000e+02	1.213233e+00
5.030000000000000e+02	1.197358e+00
5.040000000000000e+02	1.214090e+00
5.050000000000000e+02	1.211116e+00
5.060000000000000e+02	1.236302e+00
5.070000000000000e+02	1.214260e+00
5.080000000000000e+02	1.197204e+00
5.090000000000000e+02	1.195447e+00
5.100000000000000e+02	1.203080e+00
5.110000000000000e+02	1.198973e+00
5.120000000000000e+02	1.229377e+00
5.130000000000000e+02	1.227113e+00
5.140000000000000e+02	1.209203e+00
5.150000000000000e+02	1.220920e+00
5.160000000000000e+02	1.189920e+00
5.170000000000000e+02	1.201734e+00
5.180000000000000e+02	1.217646e+00
5.190000000000000e+02	1.186064e+00
5.200000000000000e+02	1.242166e+00
5.210000000000000e+02	1.241232e+00
5.220000000000000e+02	1.198484e+00
5.230000000000000e+02	1.177257e+00
5.240000000000000e+02	1.183887e+00
5.250000000000000e+02	1.212051e+00
5.260000000000000e+02	1.169617e+00
5.270000000000000e+02	1.205375e+00
5.280000000000000e+02	1.211975e+00
5.290000000000000e+02	1.185977e+00
5.300000000000000e+02	1.175994e+00
5.310000000000000e+02	1.209499e+00
5.320000000000000e+02	1.222736e+00
5.330000000000000e+02	1.212486e+00
5.340000000000000e+02	1.228647e+00
5.350000000000000e+02	1.203217e+00
5.360000000000000e+02	1.205803e+00
5.370000000000000e+02	1.194586e+00
5.380000000000000e+02	1.184182e+00
5.390000000000000e+02	1.181540e+00
5.400000000000000e+02	1.206753e+00
5.410000000000000e+02	1.242843e+00
5.420000000000000e+02	1.210981e+00
5.430000000000000e+02	1.211890e+00
5.440000000000000e+02	1.212383e+00
5.450000000000000e+02	1.198102e+00
5.460000000000000e+02	1.181986e+00
5.470000000000000e+02	1.221206e+00
5.480000000000000e+02	1.197678e+00
5.490000000000000e+02	1.209304e+00
5.500000000000000e+02	1.210763e+00
5.510000000000000e+02	1.189734e+00
5.520000000000000e+02	1.221446e+00
5.530000000000000e+02	1.194297e+00
5.540000000000000e+02	1.227795e+00
5.550000000000000e+02	1.197951e+00
5.560000000000000e+02	1.224079e+00
5.570000000000000e+02	1.215393e+00
5.580000000000000e+02	1.209905e+00
5.590000000000000e+02	1.207330e+00
5.600000000000000e+02	1.234729e+00
5.610000000000000e+02	1.220414e+00
5.620000000000000e+02	1.243892e+00
5.630000000000000e+02	1.207892e+00
